symbol,sector,securityType,bidPrice,bidSize,askPrice,askSize,lastUpdated,lastSalePrice,lastSaleSize,lastSaleTime,volume
LITE,producermanufacturing,cs,70.28,100,83.68,100,1657809001220,76.805,10,1657808793658,938
PAGS,commercialservices,cs,10.22,100,11.14,100,1657809003925,10.315,100,1657808967446,13375
CYTH,n/a,n/a,1.99,100,2.4,100,1657808958308,0.0,0,0,0
ZTEK,n/a,n/a,1.99,100,2.5,100,1657808990210,0.0,0,0,0
VOTE,n/a,n/a,34.38,100,46.62,100,1657806300103,0.0,0,0,0
HEEM,miscellaneous,et,22.49,100,24.49,100,1657808940053,0.0,0,0,0
MAQC,n/a,n/a,10.21,600,10.24,300,1657805455137,0.0,0,0,0
EMTL,miscellaneous,et,0.0,0,0.0,0,1657805400000,0.0,0,0,0
VBTX,finance,cs,27.4,133,27.5,100,1657809000318,27.37,100,1657808772503,2512
DBA,miscellaneous,et,19.63,600,19.69,200,1657809001745,19.64,100,1657808991703,22894
DJUL,miscellaneous,et,28.26,100,36.88,100,1657807309678,30.72,100,1657807410779,600
HAP,miscellaneous,et,38.66,100,45.52,100,1657806337482,0.0,0,0,0
NLOK,technologyservices,cs,22.49,100,22.67,100,1657808999014,22.665,100,1657809003786,57789
LDSF,miscellaneous,et,14.89,100,20.26,100,1657806300101,0.0,0,0,0
PEZ,miscellaneous,et,56.0,100,65.97,100,1657806340163,0.0,0,0,0
CGA,processindustries,cs,3.93,100,5.49,100,1657806526359,0.0,0,0,0
NHWK,n/a,n/a,2.54,100,3.05,100,1657808485632,2.81,100,1657807670653,419
CBL,n/a,n/a,22.93,100,27.46,100,1657808993058,25.31,1,1657808990057,18
INAQ=,n/a,n/a,0.0,0,0.0,0,1657805400000,0.0,0,0,0
KURE,miscellaneous,et,21.14,100,25.21,100,1657806301714,23.03,100,1657805723931,100
LTRYW,n/a,n/a,0.0,0,0.0,0,1657805400000,0.0,0,0,0
KBWD,miscellaneous,et,13.2,100,17.76,100,1657806300102,16.69,50,1657804497977,50
TCOA=,n/a,n/a,0.0,0,0.0,0,1657805400000,0.0,0,0,0
TPOR,miscellaneous,et,19.27,100,22.98,100,1657808560757,0.0,0,0,0
SUSB,miscellaneous,et,23.97,3000,25.9,100,1657806798664,0.0,0,0,0
VRAR,n/a,n/a,4.08,100,4.5,100,1657808971067,0.0,0,0,0
JAZZ,healthtechnology,cs,139.67,100,152.96,300,1657809003506,152.565,1,1657808903140,3349
GLTO,healthtechnology,cs,1.61,100,1.91,100,1657808333824,1.805,1400,1657806752698,2000
GCTK,n/a,n/a,1.78,100,3.25,100,1657805714316,0.0,0,0,0
EPD,industrialservices,cs,23.85,400,23.94,268,1657809000291,23.855,100,1657809006698,21306
ATIP,n/a,n/a,1.48,100,1.5,100,1657809003487,1.5,100,1657805729970,120
INNO,n/a,n/a,0.0,0,0.0,0,1657805400000,0.0,0,0,0
SBEV+,n/a,n/a,0.0,0,0.0,0,1657805400000,0.0,0,0,0
PCG-B,utilities,ps,0.0,0,0.0,0,1657805400000,0.0,0,0,0
MTZ,industrialservices,cs,64.67,100,76.21,101,1657809004840,70.6,35,1657808823332,1015
FORR,commercialservices,cs,41.51,100,45.8,100,1657808755955,45.085,100,1657808731063,334
SOI,industrialservices,cs,8.58,100,10.11,100,1657808950885,9.28,1,1657808351586,287
VTV,miscellaneous,et,125.0,100,138.36,100,1657808648850,128.07,1,1657806241914,3
AMSF,finance,cs,43.86,100,47.65,200,1657808999053,47.46,3,1657808944207,520
BEP-A,utilities,ps,18.84,100,22.64,100,1657807405138,0.0,0,0,0
CTSO,healthtechnology,cs,2.06,133,2.51,100,1657808938749,2.27,100,1657807141825,200
PKI,healthtechnology,cs,120.41,133,141.53,175,1657809004270,131.04,1,1657808940860,8495
DHCNI,finance,ps,12.87,100,20.0,100,1657805552300,0.0,0,0,0
FLM,miscellaneous,et,0.0,0,0.0,0,1657805400000,0.0,0,0,0
EQC,finance,cs,25.2,100,29.6,100,1657809000365,27.365,81,1657808731065,2475
CAMT,electronictechnology,cs,25.04,100,27.34,106,1657808980803,24.88,20,1657808631832,1144
NECB,n/a,n/a,10.87,100,13.0,100,1657808601000,0.0,0,0,0
CNRG,miscellaneous,et,61.55,100,83.1,100,1657806300094,0.0,0,0,0
BHSE,n/a,n/a,8.09,100,12.18,100,1657805400739,0.0,0,0,0
NGVC,retailtrade,cs,14.44,100,16.95,100,1657808999526,15.87,100,1657805771314,100
VAXX,n/a,n/a,1.52,100,1.82,100,1657808914053,1.69,200,1657808543463,1732
SAP,technologyservices,ad,77.31,100,90.78,100,1657809005417,83.85,4,1657808945926,7075
SPMV,miscellaneous,et,0.0,0,0.0,0,1657805400000,0.0,0,0,0
GGZ,miscellaneous,cef,9.86,100,11.67,100,1657806706931,0.0,0,0,0
FRBN,n/a,n/a,9.91,200,10.88,100,1657808760631,0.0,0,0,0
LGLV,miscellaneous,et,103.06,100,139.21,100,1657806300092,0.0,0,0,0
JZRO,n/a,n/a,0.0,0,0.0,0,1657805400000,0.0,0,0,0
OHAA,n/a,n/a,9.81,100,9.88,183,1657808766302,0.0,0,0,0
PEB-E,finance,ps,19.53,100,24.24,100,1657808791152,0.0,0,0,0
FGM,miscellaneous,et,28.57,100,34.14,100,1657806780660,31.2,300,1657806802745,300
NAVI,finance,cs,14.51,300,15.64,100,1657808998713,14.47,100,1657808807090,3572
DHACU,n/a,n/a,0.0,0,0.0,0,1657805400000,0.0,0,0,0
OM,healthtechnology,cs,16.38,200,16.47,137,1657809006614,16.415,1,1657808989530,8966
PPT,miscellaneous,cef,3.57,100,4.2,118,1657808150806,3.87,100,1657806057676,100
SPXL,miscellaneous,et,62.64,1000,62.86,100,1657808995064,62.74,100,1657808838920,18279
MBTCU,n/a,n/a,9.42,100,12.82,100,1657808762291,0.0,0,0,0
FMAR,n/a,n/a,23.98,100,32.33,100,1657806300102,0.0,0,0,0
